,Title,Price,Discount,Released
0,Stardew Valley,$14.99,,"Feb 26, 2016"
1,Death and Taxes,$12.99,9.74,"Feb 20, 2020"
2,Tank Mechanic Simulator,$19.99,17.99,"Feb 20, 2020"
3,Tabletop Simulator,$19.99,,"Jun 5, 2015"
4,Cities: Skylines,$29.99,,"Mar 10, 2015"
5,ONE PUNCH MAN: A HERO NOBODY KNOWS,$59.99,,"Feb 27, 2020"
6,ONE PUNCH MAN: A HERO NOBODY KNOWS,$59.99,,"Feb 27, 2020"
7,Plague Inc: Evolved,$14.99,,"Feb 18, 2016"
8,House Flipper,$19.99,,"May 17, 2018"
9,Totally Accurate Battle Simulator,$14.99,,"Apr 1, 2019"
10,Planet Coaster,$44.99,,"Nov 17, 2016"
11,Two Point Hospital,$34.99,,"Aug 29, 2018"
12,Ken Follett's The Pillars of the Earth,$29.99,,"Aug 15, 2017"
13,American Truck Simulator West Coast Bundle,$34.26,,
14,Cities: Skylines - New Player Bundle,$55.76,,
15,The Sims™ 3,$19.99,,"Jan 27, 2011"
16,Cities: Skylines Collection,$182.69,,
17,PC Building Simulator - Maxed Out Edition,$36.50,,
18,Car Mechanic Simulator 2018 - Platinum Edition,$64.69,,
19,Pummel Party,$14.99,,"Sep 20, 2018"
20,"Portal Knights - Druids, Furfolk, and Relic Defense",$9.99,8.99,"Feb 20, 2020"
21,My Time At Portia,$29.99,,"Jan 15, 2019"
22,Zero Caliber VR,$24.99,,"Nov 9, 2018"
23,PC Building Simulator,$19.99,,"Jan 29, 2019"
24,Dawn of Man,$24.99,,"Mar 1, 2019"
25,Bloons TD 6,$9.99,,"Dec 17, 2018"
26,Dawn of Man,$24.99,,"Mar 1, 2019"
27,Universe Sandbox,$29.99,,"Aug 24, 2015"
28,The Suicide of Rachel Foster,$17.99,13.49,"Feb 19, 2020"
29,Starbound,$14.99,,"Jul 22, 2016"
30,My Time At Portia,$29.99,,"Jan 15, 2019"
31,OCTOPATH TRAVELER™,$59.99,,"Jun 7, 2019"
32,Garden Flipper,$14.99,,"May 16, 2019"
33,Gang Beasts,$19.99,,"Dec 12, 2017"
34,All You Can Drill,$11.98,,
35,Human: Fall Flat,$14.99,,"Jul 22, 2016"
36,Turmoil,$9.99,,"Jun 2, 2016"
37,Mechanic Simulator Bundle,$51.97,42.47,
38,The Jackbox Party Quintpack,$98.75,,
39,The Jackbox Party Pack 6,$29.99,,"Oct 16, 2019"
40,The Jackbox Party Pack 3,$24.99,,"Oct 17, 2016"
41,DJMAX RESPECT V,$49.99,,"Dec 18, 2019"
42,Portal Knights,$19.99,7.99,"May 18, 2017"
43,Getting Over It with Bennett Foddy,$7.99,,"Dec 6, 2017"
44,Troubleshooter,$19.99,11.99,"Dec 30, 2017"
45,Baba Is You,$14.99,,"Mar 13, 2019"
46,Town of Salem,$4.99,,"Dec 15, 2014"
47,Stick Fight: The Game,$4.99,,"Sep 28, 2017"
48,American Truck Simulator - Washington,$11.99,,"Jun 11, 2019"
49,Garden Paws,$19.99,,"Dec 18, 2018"
50,The Coin Game,$8.99,,"Feb 22, 2019"
51,Kingdoms and Castles,$9.99,,"Jul 20, 2017"
52,Golf With Your Friends,$7.99,,"Jan 29, 2016"
53,Senren＊Banka,$34.99,,"Feb 14, 2020"
54,Call of Duty®: Modern Warfare® Remastered,$39.99,,"Jul 27, 2017"
55,UNO,$9.99,,"Jan 3, 2017"
56,Rocksmith® 2014 Edition - Remastered,$29.99,,"Oct 22, 2013"
57,Among Us,$4.99,,"Nov 16, 2018"
58,Ultimate Chicken Horse,$14.99,,"Mar 4, 2016"
59,Unrailed!,$16.99,12.74,"Sep 9, 2019"
60,The Builder Bundle,$91.26,,
61,We Were Here Together,$12.99,,"Oct 10, 2019"
62,Gunsmith,$19.99,14.99,"May 25, 2018"
63,MONOPOLY® PLUS,$14.99,,"Sep 7, 2017"
64,Nolla Games Bundle,$75.95,64.30,
65,D-Double Renovation Bundle,$39.98,32.28,
66,Nancy Drew® Collector Pack - Summer 2012,$79.98,,"Jul 16, 2012"
67,Lair of the Clockwork God,$19.99,17.99,"Feb 21, 2020"
68,Poly Bridge,$9.99,,"Jul 12, 2016"
69,Tropico 6,$49.99,,"Mar 29, 2019"
70,SpaceEngine,$24.99,,"Jun 11, 2019"
71,DEEEER Simulator: Your Average Everyday Deer Game,$12.99,,"Jan 20, 2020"
72,"Portal Knights - Elves, Rogues, and Rifts",$9.99,8.99,"Jun 27, 2019"
73,Cities: Skylines,$29.99,,"Mar 10, 2015"
74,"Cook, Serve, Delicious! 3?!",$14.99,,"Jan 29, 2020"
75,Myst 25th Anniversary Collection,$79.93,,
76,House & Garden Flipper Bundle,$31.48,,
77,SEGA Mega Drive and Genesis Classics,$29.99,,
78,The Jackbox Party Pack 5,$29.99,,"Oct 16, 2018"
79,RollerCoaster Tycoon® 2: Triple Thrill Pack,$9.99,,"May 21, 2014"
80,Call of Duty Warchest,$29.99,,"Dec 7, 2006"
81,SpaceEngine PRO,$59.99,,"Jun 11, 2019"
82,Sonic Mania,$19.99,,"Aug 29, 2017"
83,Last Day of June,$19.99,4.99,"Aug 31, 2017"
84,The Jackbox Party Pack 4,$24.99,,"Oct 18, 2017"
85,The Jackbox Party Pack,$24.99,,"Nov 26, 2014"
86,Train Sim World® 2020 Digital Deluxe Edition,$49.99,,"Aug 15, 2019"
87,Sword Art Online: Hollow Realization Deluxe Edition,$49.99,,"Oct 27, 2017"
88,Town of Salem - Game + Coven + Soundtrack,$9.98,,
89,The Convenience Store | 夜勤事件,$2.99,,"Feb 17, 2020"
90,ISLANDERS,$4.99,,"Apr 4, 2019"
91,RollerCoaster Tycoon World™,$14.99,,"Nov 16, 2016"
92,Dragon Cliff,$9.99,3.99,"May 11, 2018"
93,DRAGON BALL XENOVERSE 2 - Extra Pass,$29.99,,"Dec 18, 2018"
94,Ciel Fledge: A Daughter Raising Simulator,$19.99,17.99,"Feb 20, 2020"
95,Plants vs. Zombies GOTY Edition,$4.99,,"May 5, 2009"
96,Project Winter,$19.99,,"May 23, 2019"
97,Plane Mechanic Simulator,$11.99,,"Feb 13, 2019"
98,Myst III: Exile,$14.99,,"Sep 24, 2018"
99,GRID + GRID Autosport,$49.98,26.98,
