,Title,Price,Discount,Released
0,ARK: Genesis Season Pass,$34.99,,"Aug 8, 2019"
1,Wolcen: Lords of Mayhem,$39.99,,"Feb 13, 2020"
2,Mega Man Zero/ZX Legacy Collection,$29.99,,"Feb 25, 2020"
3,Disco Elysium,$39.99,31.99,"Oct 15, 2019"
4,Genesis Alpha One Deluxe Edition,$29.99,22.49,"Feb 25, 2020"
5,Noita,$17.99,13.49,"Sep 24, 2019"
6,Monster Hunter World: Iceborne,$39.99,,"Jan 9, 2020"
7,Dying Light Enhanced Edition 5th Anniversary,$59.99,19.79,
8,Stardew Valley,$14.99,,"Feb 26, 2016"
9,BioShock: The Collection,$59.99,14.99,"Sep 16, 2016"
10,Temtem,$34.99,,"Jan 21, 2020"
11,WORLD OF HORROR,$14.99,,"Feb 20, 2020"
12,The Elder Scrolls V: Skyrim Special Edition,$39.99,,"Oct 27, 2016"
13,Dungeon Defenders: Awakened,$39.99,,"Feb 21, 2020"
14,MONSTER HUNTER: WORLD,$29.99,,"Aug 9, 2018"
15,Divinity: Original Sin 2 - Definitive Edition,$44.99,,"Sep 14, 2017"
16,Black Desert Online - Kakao Cash,$10.00,,"Jan 24, 2018"
17,XCOM® 2 Collection,$132.95,25.08,
18,Conan Exiles,$39.99,19.99,"May 8, 2018"
19,Conan Exiles - Complete Edition,$99.99,59.99,
20,The Elder Scrolls Online - Greymoor,$39.99,,2 June 2020
21,The Witcher 3: Wild Hunt - Game of the Year Edition,$49.99,,"Aug 30, 2016"
22,Mutant Year Zero: Road to Eden,$34.99,17.49,"Dec 4, 2018"
23,Hades,$24.99,,"Dec 10, 2019"
24,Fallout 4: Game of the Year Edition,$59.99,,"Nov 10, 2015"
25,Monster Hunter World: Iceborne Master Edition,$59.98,,
26,The Walking Dead: Saints & Sinners,$39.99,,"Jan 23, 2020"
27,ARK: Survival Evolved,$49.99,,"Aug 29, 2017"
28,Grim Dawn Definitive Edition,$55.21,,
29,FINAL FANTASY XIV: Shadowbringers,$39.99,,"Jul 2, 2019"
30,Tabletop Simulator,$19.99,,"Jun 5, 2015"
31,The Elder Scrolls Online - Greymoor,$39.99,,2 June 2020
32,Cyberpunk 2077,$59.99,,"Sep 16, 2020"
33,Mutant Year Zero: Road to Eden - Deluxe Edition,$49.98,25.18,
34,Dying Light Ultimate Collection,$104.86,49.23,
35,Terraria,$9.99,,"May 16, 2011"
36,STAR WARS Jedi: Fallen Order™,$59.99,,"Nov 15, 2019"
37,New World,$39.99,,May 2020
38,Freeman: Guerrilla Warfare,$24.99,17.49,"Oct 4, 2019"
39,Kenshi,$29.99,,"Dec 6, 2018"
40,Monster Hunter World: Iceborne Digital Deluxe,$49.98,,
41,The Elder Scrolls® Online,$19.99,,"May 22, 2017"
42,DARK SOULS™: REMASTERED,$39.99,,"May 23, 2018"
43,DRAGON BALL Z: KAKAROT,$59.99,,"Jan 16, 2020"
44,NieR:Automata™,$39.99,,"Mar 17, 2017"
45,Stoneshard,$14.99,,"Feb 6, 2020"
46,Conan Exiles - Deluxe Edition,$69.99,34.99,
47,Kingdom Under Fire 2 - War God Edition,$99.99,49.99,"Nov 18, 2019"
48,Last Epoch,$34.99,,"Apr 30, 2019"
49,XCOM® 2,$59.99,14.99,"Feb 4, 2016"
