,Title,Price,Discount,Released
0,Expansion - Hearts of Iron IV: La Résistance,$19.99,,"Feb 25, 2020"
1,RimWorld - Royalty,$19.99,,"Feb 24, 2020"
2,Max Gentlemen Sexy Business!,$19.99,17.99,"Feb 25, 2020"
3,Hearts of Iron IV: Mobilization Pack,$104.95,43.60,
4,RimWorld,$34.99,,"Oct 17, 2018"
5,Genesis Alpha One Deluxe Edition,$29.99,22.49,"Feb 25, 2020"
6,Expansion - Hearts of Iron IV: Man the Guns,$19.99,9.99,"Feb 28, 2019"
7,Hearts of Iron IV,$39.99,15.99,"Jun 6, 2016"
8,Stardew Valley,$14.99,,"Feb 26, 2016"
9,Expansion - Hearts of Iron IV: Waking the Tiger,$19.99,9.99,"Mar 8, 2018"
10,Death and Taxes,$12.99,9.74,"Feb 20, 2020"
11,Black Desert Online - Kakao Cash,$10.00,,"Jan 24, 2018"
12,Expansion - Hearts of Iron IV: Together for Victory,$14.99,7.49,"Dec 15, 2016"
13,Conan Exiles,$39.99,19.99,"May 8, 2018"
14,Conan Exiles - Complete Edition,$99.99,59.99,
15,The Forest,$19.99,,"Apr 30, 2018"
16,Besiege,$9.99,,"Feb 18, 2020"
17,BONEWORKS,$29.99,,"Dec 10, 2019"
18,Tank Mechanic Simulator,$19.99,17.99,"Feb 20, 2020"
19,The Walking Dead: Saints & Sinners,$39.99,,"Jan 23, 2020"
20,Expansion - Hearts of Iron IV: Death or Dishonor,$9.99,4.99,"Jun 14, 2017"
21,Sid Meier's Civilization VI : Platinum Edition,$119.19,,
22,Tabletop Simulator,$19.99,,"Jun 5, 2015"
23,Sid Meier’s Civilization® VI,$59.99,,"Oct 20, 2016"
24,Planet Zoo,$44.99,,"Nov 5, 2019"
25,Cities: Skylines,$29.99,,"Mar 10, 2015"
26,DayZ,$44.99,,"Dec 13, 2018"
27,Raft,$19.99,,"May 23, 2018"
28,The Isle,$19.99,,"Dec 1, 2015"
29,Kenshi,$29.99,,"Dec 6, 2018"
30,Plague Inc: Evolved,$14.99,,"Feb 18, 2016"
31,Farming Simulator 19,$24.99,,"Nov 19, 2018"
32,Conan Exiles - Deluxe Edition,$69.99,34.99,
33,Planet Zoo: Arctic Bundle,$52.23,,
34,Planet Zoo,$44.99,,"Nov 5, 2019"
35,House Flipper,$19.99,,"May 17, 2018"
36,Hearts of Iron IV: Axis Armor Pack,$5.99,2.99,"Jun 4, 2019"
37,Kingdom Under Fire 2 - War God Edition,$99.99,49.99,"Nov 18, 2019"
38,Hell Let Loose,$29.99,,"Jun 6, 2019"
39,Stellaris,$39.99,,"May 9, 2016"
40,BeamNG.drive,$24.99,,"May 29, 2015"
41,Farming Simulator 19 - Platinum Edition,$34.99,,"Oct 22, 2019"
42,Hearts of Iron IV: Radio Pack,$6.99,3.49,"Jun 4, 2019"
43,This Land Is My Land,$39.99,,"Nov 20, 2019"
44,Squad,$39.99,,"Dec 14, 2015"
45,Panzer Corps 2,$69.99,59.49,"Mar 19, 2020"
46,Arma 3,$29.99,,"Sep 12, 2013"
47,DayZ Livonia Edition,$53.08,,
48,Garry's Mod,$9.99,,"Nov 29, 2006"
49,Totally Accurate Battle Simulator,$14.99,,"Apr 1, 2019"
50,Monster Energy Supercross - The Official Videogame 3,$49.99,,"Feb 4, 2020"
51,Kingdom Under Fire 2 - Hero Edition,$29.99,17.99,"Nov 18, 2019"
52,KovaaK 2.0: The Meta,$9.99,,"Apr 3, 2018"
53,NASCAR Heat 4,$39.99,,"Sep 13, 2019"
54,Space Engineers,$19.99,,"Feb 28, 2019"
55,Blade and Sorcery,$19.99,,"Dec 11, 2018"
56,The Universim,$29.99,,"Aug 28, 2018"
57,DCS: F/A-18C Hornet,$79.99,,"Jun 1, 2018"
58,Barotrauma,$29.99,19.79,"Jun 5, 2019"
59,Oxygen Not Included,$24.99,,"Jul 30, 2019"
60,Not For Broadcast,$14.99,,"Jan 30, 2020"
61,Session: Skateboarding Sim Game,$19.99,14.99,"Sep 17, 2019"
62,Two Point Hospital,$34.99,,"Aug 29, 2018"
63,Foundation,$29.99,,"Feb 1, 2019"
64,Planet Coaster,$44.99,,"Nov 17, 2016"
65,American Truck Simulator West Coast Bundle,$34.26,,
66,Steep™,$29.99,7.49,"Dec 2, 2016"
67,Car Mechanic Simulator 2018,$19.99,,"Jul 28, 2017"
68,Arma 3 Ultimate Edition,$119.75,,
69,Conan Exiles - Year 2 DLC Bundle,$39.96,22.85,
70,Cities: Skylines - New Player Bundle,$55.76,,
71,The Sims™ 3,$19.99,,"Jan 27, 2011"
72,SPORE™,$19.99,,"Dec 19, 2008"
73,DCS Naval Warfare Bundle - Includes Su-33,$87.38,,
74,Cooking Simulator,$19.99,13.99,"Jun 6, 2019"
75,PC Building Simulator - Maxed Out Edition,$36.50,,
76,Cities: Skylines Collection,$182.69,,
77,Conan Unconquered,$19.99,11.99,"May 29, 2019"
78,Space Engineers Ultimate Edition,$37.34,,
79,Transport Fever 2,$39.99,,"Dec 11, 2019"
80,Frostpunk: Season Pass,$34.97,24.47,
81,Age of Empires® III: Complete Collection,$39.99,,"Jan 5, 2012"
82,Kerbal Space Program: Breaking Ground Expansion,$14.99,,"May 30, 2019"
83,Microsoft Flight Simulator X: Steam Edition,$24.99,,"Dec 18, 2014"
84,Tony Stewart's Sprint Car Racing,$29.99,,"Feb 21, 2020"
85,Car Mechanic Simulator 2018 - Platinum Edition,$64.69,,
86,Crusader Kings II: Royal Collection,$164.55,,
87,The Walking Dead: Saints & Sinners,$39.99,,"Jan 23, 2020"
