,Title,Price,Discount,Released
0,Rocket League®,$19.99,,"Jul 6, 2015"
1,Beat Saber,$29.99,,"May 21, 2019"
2,Monster Energy Supercross - The Official Videogame 3,$49.99,,"Feb 4, 2020"
3,NASCAR Heat 4,$39.99,,"Sep 13, 2019"
4,Session: Skateboarding Sim Game,$19.99,14.99,"Sep 17, 2019"
5,Steep™,$29.99,7.49,"Dec 2, 2016"
6,Tony Stewart's Sprint Car Racing,$29.99,,"Feb 21, 2020"
7,NBA 2K20,$59.99,,"Sep 6, 2019"
8,Football Manager 2020,$49.99,,"Nov 19, 2019"
9,NASCAR Heat 4 Gold Edition,$59.99,,
10,Bloody Rally Show,$20.00,18.00,"Feb 19, 2020"
11,TEKKEN 7,$39.99,,"Jun 1, 2017"
12,The Golf Club™ 2019 featuring PGA TOUR,$49.99,,"Aug 28, 2018"
13,DJMAX RESPECT V,$49.99,,"Dec 18, 2019"
14,DCL - The Game,$29.99,,"Feb 18, 2020"
15,Golf With Your Friends,$7.99,,"Jan 29, 2016"
16,theHunter: Call of the Wild™ - 2019 Edition,$39.45,,
17,DiRT Bundle,$76.47,,
18,iRacing,$9.99,,"Jan 12, 2015"
19,NBA 2K20,$59.99,,"Sep 6, 2019"
20,Wreckfest,$39.99,,"Jun 14, 2018"
21,Descenders,$24.99,,"May 7, 2019"
22,Wreckfest Deluxe Edition,$59.83,,
23,F1® 2019,$59.99,,"Jun 27, 2019"
24,Assetto Corsa,$19.99,,"Dec 19, 2014"
25,Assetto Corsa Competizione,$39.99,,"May 29, 2019"
26,Creed: Rise to Glory™,$29.99,,"Sep 25, 2018"
27,Steep™,$29.99,7.49,"Dec 2, 2016"
28,Fire Pro Wrestling World - World Wonder Ring Stardom Collaboration,$19.99,,"Aug 21, 2019"
29,Call of Duty Warchest,$29.99,,"Dec 7, 2006"
30,Fishing Planet: Catfish Combat Pack,$39.99,,"Jan 16, 2017"
31,eFootball  PES 2020,Free,,"Sep 10, 2019"
32,Skater XL - The Ultimate Skateboarding Game,$19.99,,"Dec 19, 2018"
33,CarX Drift Racing Online - Deluxe,$29.99,,"Dec 28, 2017"
34,The Drone Racing League Simulator,$9.99,,"Nov 1, 2017"
35,Fishing Planet: Golden Pack,$49.99,,"Nov 4, 2019"
36,WWE 2K17,$49.99,,"Feb 7, 2017"
37,PRO ANGLER SPORT BUNDLE,$27.40,,
38,MXGP 2019 - The Official Motocross Videogame,$49.99,,"Aug 27, 2019"
39,Fire Pro Wrestling World - Entrance Craft,$19.99,,"Oct 30, 2019"
40,GRID + GRID Autosport,$49.98,26.98,
41,Lethal League Blaze,$19.99,,"Oct 24, 2018"
42,HYPERCHARGE: Unboxed,$19.99,,"Jun 21, 2017"
43,Golf It!,$8.99,,"Feb 17, 2017"
44,BOXVR,$29.99,,"May 21, 2019"
45,CarX Drift Racing Online - Ultimate,$38.23,,
46,Kart Racing Pro,$39.99,,"Jul 14, 2017"
47,Liftoff: FPV Drone Racing,$19.99,,"Sep 13, 2018"
48,Super Blood Hockey,$14.99,4.49,"Aug 17, 2017"
49,Monster Energy Supercross - The Official Videogame 2,$39.99,,"Feb 8, 2019"
50,TEKKEN 7 - Season Pass 3,$24.99,,"Sep 9, 2019"
51,Pure Rock Crawling,$14.99,,"Apr 11, 2018"
52,Fire Pro Wrestling World,$29.99,,"Dec 18, 2017"
53,TEKKEN 7 - Season Pass 2,$29.99,,"Sep 5, 2018"
54,rFactor 2,$31.99,,"Nov 12, 2015"
55,Wreckfest - Season Pass,$22.99,,"Sep 10, 2019"
56,Fishing Planet: Char Charger's Pack,$19.99,,"May 12, 2017"
57,CarX Drift Racing Online,$14.99,,"Nov 17, 2017"
58,theHunter: Call of the Wild™ - Medved-Taiga,$7.99,,"Oct 17, 2017"
59,Assetto Corsa Competizione - Intercontinental GT Pack,$14.99,,"Feb 4, 2020"
60,theHunter: Call of the Wild™ - Vurhonga Savanna,$7.99,,"Aug 30, 2018"
61,The Golf Club VR,$9.99,,"Feb 24, 2017"
62,NASCAR Heat 3,$19.99,,"Sep 7, 2018"
63,theHunter: Call of the Wild™ - Cuatro Colinas Game Reserve,$7.99,,"Dec 10, 2019"
64,Steep™ - Road to the Olympics,$9.99,4.99,"Dec 5, 2017"
65,Castlevania Anniversary Collection,$19.99,,"May 16, 2019"
66,MX vs. ATV Reflex,$19.99,,"Nov 26, 2010"
67,Supergiant Collection,$101.92,,
68,Project CARS 2,$59.99,,"Sep 21, 2017"
69,KartKraft™,$19.99,,"Nov 1, 2018"
70,Atari Vault,$9.99,,"Mar 24, 2016"
71,DiRT Rally,$19.99,,"Dec 7, 2015"
72,MotoGP™19,$49.99,19.99,"Jun 6, 2019"
73,SpeedRunners,$14.99,,"Apr 19, 2016"
74,Mutant Football League: Dynasty Edition,$19.98,,
75,theHunter: Call of the Wild™ - Weapon Pack 3,$3.99,,"Aug 1, 2019"
76,Fire Pro Wrestling World - Fighting Road: 2017 NJPW Junior Heavyweight Championship,$14.99,,"Mar 13, 2019"
77,Atari Vault - 50 Game Add-On Pack,$4.99,,"Nov 26, 2019"
78,Assetto Corsa - Red Pack,$6.99,,"Jul 14, 2016"
79,F1 2015,$14.99,,"Jul 9, 2015"
80,theHunter: Call of the Wild™ - Weapon Pack 1,$3.99,,"Apr 12, 2018"
81,Age of Gladiators II: Rome,$19.99,4.99,"Aug 21, 2018"
82,The Thrill of the Fight - VR Boxing,$9.99,,"Oct 24, 2019"
83,DiRT Rally 2.0 Deluxe 2.0 (Season3+4),$11.99,,"Aug 26, 2019"
84,Trials® Rising,$24.99,,"Feb 26, 2019"
85,Age of Gladiators - Franchise Bundle,$44.97,8.47,
86,Sportsfriends,$14.99,,"Dec 19, 2014"
87,theHunter: Call of the Wild™ - Yukon Valley,$7.99,,"Jun 25, 2019"
88,Franchise Hockey Manager 6,$39.99,,"Oct 11, 2019"
89,theHunter: Call of the Wild™ - Trophy Lodge Spring Creek Manor,$3.99,,"Apr 11, 2019"
90,Rugby Union Team Manager Deluxe Edition 2018-2019,$48.98,14.28,
91,theHunter: Call of the Wild™ - Saseka Safari Trophy Lodge,$3.99,,"Nov 14, 2019"
92,theHunter: Call of the Wild™ - ATV SABER 4X4,$3.99,,"Jun 15, 2017"
93,Beast Battle Simulator,$9.99,,"Feb 22, 2018"
