,Title,Price,Discount,Released
0,Expansion - Hearts of Iron IV: La Résistance,$19.99,,"Feb 25, 2020"
1,RimWorld - Royalty,$19.99,,"Feb 24, 2020"
2,Hearts of Iron IV: Mobilization Pack,$104.95,43.60,
3,RimWorld,$34.99,,"Oct 17, 2018"
4,Broken Lines,$24.99,,"Feb 25, 2020"
5,Expansion - Hearts of Iron IV: Man the Guns,$19.99,9.99,"Feb 28, 2019"
6,"Warhammer 40,000: Gladius - T'au",$14.99,,"Feb 25, 2020"
7,Hearts of Iron IV,$39.99,15.99,"Jun 6, 2016"
8,Expansion - Hearts of Iron IV: Waking the Tiger,$19.99,9.99,"Mar 8, 2018"
9,Dungeon Defenders: Awakened,$39.99,,"Feb 21, 2020"
10,Death and Taxes,$12.99,9.74,"Feb 20, 2020"
11,Age of Empires II: Definitive Edition,$19.99,,"Nov 14, 2019"
12,Divinity: Original Sin 2 - Definitive Edition,$44.99,,"Sep 14, 2017"
13,Black Desert Online - Kakao Cash,$10.00,,"Jan 24, 2018"
14,XCOM® 2 Collection,$132.95,25.08,
15,Expansion - Hearts of Iron IV: Together for Victory,$14.99,7.49,"Dec 15, 2016"
16,Conan Exiles,$39.99,19.99,"May 8, 2018"
17,Battlestar Galactica Deadlock: Ghost Fleet Offensive,$14.99,,"Feb 25, 2020"
18,Conan Exiles - Complete Edition,$99.99,59.99,
19,Sid Meier's Civilization® VI: Gathering Storm,$39.99,,"Feb 13, 2019"
20,Total War: THREE KINGDOMS,$59.99,,"May 23, 2019"
21,Besiege,$9.99,,"Feb 18, 2020"
22,Tom Clancy's Rainbow Six® Siege,$19.99,7.99,"Dec 1, 2015"
23,Mutant Year Zero: Road to Eden,$34.99,17.49,"Dec 4, 2018"
24,The Walking Dead: Saints & Sinners,$39.99,,"Jan 23, 2020"
25,Taur,$24.99,22.49,"Feb 19, 2020"
26,Expansion - Hearts of Iron IV: Death or Dishonor,$9.99,4.99,"Jun 14, 2017"
27,Sid Meier's Civilization VI : Platinum Edition,$119.19,,
28,Tabletop Simulator,$19.99,,"Jun 5, 2015"
29,Sid Meier’s Civilization® VI,$59.99,,"Oct 20, 2016"
30,Mutant Year Zero: Road to Eden - Deluxe Edition,$49.98,25.18,
31,Planet Zoo,$44.99,,"Nov 5, 2019"
32,Cities: Skylines,$29.99,,"Mar 10, 2015"
33,"Warhammer 40,000: Gladius Complete Edition",$104.91,52.39,
34,Freeman: Guerrilla Warfare,$24.99,17.49,"Oct 4, 2019"
35,Kenshi,$29.99,,"Dec 6, 2018"
36,Plague Inc: Evolved,$14.99,,"Feb 18, 2016"
37,Factorio,$30.00,,"Feb 25, 2016"
38,Stoneshard,$14.99,,"Feb 6, 2020"
39,Total War: WARHAMMER,$59.99,,"May 24, 2016"
40,Conan Exiles - Deluxe Edition,$69.99,34.99,
41,Planet Zoo: Arctic Bundle,$52.23,,
42,Total War: WARHAMMER II,$59.99,,"Sep 28, 2017"
43,XCOM 2: War of the Chosen,$39.99,13.19,"Aug 28, 2017"
44,Planet Zoo,$44.99,,"Nov 5, 2019"
45,Hearts of Iron IV: Axis Armor Pack,$5.99,2.99,"Jun 4, 2019"
46,Kingdom Under Fire 2 - War God Edition,$99.99,49.99,"Nov 18, 2019"
47,Hell Let Loose,$29.99,,"Jun 6, 2019"
48,XCOM® 2,$59.99,14.99,"Feb 4, 2016"
49,Stellaris,$39.99,,"May 9, 2016"
50,Hearts of Iron IV: Radio Pack,$6.99,3.49,"Jun 4, 2019"
51,Squad,$39.99,,"Dec 14, 2015"
52,Panzer Corps 2,$69.99,59.49,"Mar 19, 2020"
53,Arma 3,$29.99,,"Sep 12, 2013"
54,Totally Accurate Battle Simulator,$14.99,,"Apr 1, 2019"
55,Slay the Spire,$24.99,,"Jan 23, 2019"
56,Kingdom Under Fire 2 - Hero Edition,$29.99,17.99,"Nov 18, 2019"
57,Wasteland Remastered,$14.99,,"Feb 25, 2020"
58,Age of Empires II: Definitive Edition + Age of Empires II (2013),$29.98,,
59,Space Engineers,$19.99,,"Feb 28, 2019"
60,The Universim,$29.99,,"Aug 28, 2018"
61,Barotrauma,$29.99,19.79,"Jun 5, 2019"
62,Total War: WARHAMMER II - The Shadow & The Blade,$8.99,,"Dec 12, 2019"
63,Oxygen Not Included,$24.99,,"Jul 30, 2019"
64,Session: Skateboarding Sim Game,$19.99,14.99,"Sep 17, 2019"
65,Two Point Hospital,$34.99,,"Aug 29, 2018"
66,"Warhammer 40,000: Gladius - Relics of War",$39.99,15.59,"Jul 12, 2018"
67,Foundation,$29.99,,"Feb 1, 2019"
68,Planet Coaster,$44.99,,"Nov 17, 2016"
69,Mutant Year Zero: Seed of Evil,$14.99,10.49,"Jul 30, 2019"
70,CS:GO Prime Status Upgrade,$14.99,,"Aug 21, 2012"
71,Arma 3 Ultimate Edition,$119.75,,
72,Conan Exiles - Year 2 DLC Bundle,$39.96,22.85,
73,Sid Meier’s Civilization® VI: Rise and Fall,$29.99,,"Feb 7, 2018"
74,Cities: Skylines - New Player Bundle,$55.76,,
75,Total War: WARHAMMER II - Rise of the Tomb Kings,$18.99,,"Jan 24, 2018"
76,PAYDAY 2: Legacy Collection,$20.16,,
77,SPORE™,$19.99,,"Dec 19, 2008"
78,Cities: Skylines Collection,$182.69,,
79,Conan Unconquered,$19.99,11.99,"May 29, 2019"
80,Space Engineers Ultimate Edition,$37.34,,
81,Transport Fever 2,$39.99,,"Dec 11, 2019"
82,Total War: WARHAMMER II - Curse of the Vampire Coast,$18.99,,"Nov 8, 2018"
