,Title,Price,Discount,Released
0,ARK: Genesis Season Pass,$34.99,,"Aug 8, 2019"
1,Tom Clancy's Rainbow Six® Siege - Year 5 Pass,$24.99,,"Feb 18, 2020"
2,Wolcen: Lords of Mayhem,$39.99,,"Feb 13, 2020"
3,Mega Man Zero/ZX Legacy Collection,$29.99,,"Feb 25, 2020"
4,Genesis Alpha One Deluxe Edition,$29.99,22.49,"Feb 25, 2020"
5,SYNTHETIK: Legion Rising,$19.99,9.99,"Mar 15, 2018"
6,Noita,$17.99,13.49,"Sep 24, 2019"
7,Hunt: Showdown,$39.99,23.99,"Aug 27, 2019"
8,Monster Hunter World: Iceborne,$39.99,,"Jan 9, 2020"
9,DOOM Eternal,$59.99,,"Mar 20, 2020"
10,DOOM Eternal,$59.99,,"Mar 20, 2020"
11,Red Dead Redemption 2,$59.99,,"Dec 5, 2019"
12,Halo: The Master Chief Collection,$39.99,,"Dec 3, 2019"
13,Broken Lines,$24.99,,"Feb 25, 2020"
14,Grand Theft Auto V,$29.99,,"Apr 13, 2015"
15,Dying Light Enhanced Edition 5th Anniversary,$59.99,19.79,
16,Destiny 2: Upgrade Edition,$49.99,,"Dec 10, 2019"
17,BioShock: The Collection,$59.99,14.99,"Sep 16, 2016"
18,Rust,$39.99,,"Feb 8, 2018"
19,The Elder Scrolls V: Skyrim Special Edition,$39.99,,"Oct 27, 2016"
20,MONSTER HUNTER: WORLD,$29.99,,"Aug 9, 2018"
21,Rocket League®,$19.99,,"Jul 6, 2015"
22,RESIDENT EVIL 3,$59.99,,2020/04/03
23,No Man's Sky,$59.99,,"Aug 12, 2016"
24,GTFO,$34.99,,"Dec 9, 2019"
25,XCOM® 2 Collection,$132.95,25.08,
26,Black Desert Online - Kakao Cash,$10.00,,"Jan 24, 2018"
27,Conan Exiles - Complete Edition,$99.99,59.99,
28,DAEMON X MACHINA,$59.99,,"Feb 13, 2020"
29,The Elder Scrolls Online - Greymoor,$39.99,,2 June 2020
30,The Forest,$19.99,,"Apr 30, 2018"
31,Mutant Year Zero: Road to Eden,$34.99,17.49,"Dec 4, 2018"
32,Total War: THREE KINGDOMS,$59.99,,"May 23, 2019"
33,Half-Life: Alyx,$59.99,53.99,"Mar 23, 2020"
34,Conan Exiles,$39.99,19.99,"May 8, 2018"
35,Beat Saber,$29.99,,"May 21, 2019"
36,Sekiro™: Shadows Die Twice,$59.99,,"Mar 21, 2019"
37,Metro Exodus,$39.99,,"Feb 14, 2020"
38,Besiege,$9.99,,"Feb 18, 2020"
39,Tom Clancy's Rainbow Six® Siege,$19.99,7.99,"Dec 1, 2015"
40,BONEWORKS,$29.99,,"Dec 10, 2019"
41,The Witcher 3: Wild Hunt - Game of the Year Edition,$49.99,,"Aug 30, 2016"
42,Tank Mechanic Simulator,$19.99,17.99,"Feb 20, 2020"
43,Taur,$24.99,22.49,"Feb 19, 2020"
44,Monster Hunter World: Iceborne Master Edition,$59.98,,
45,Metro Exodus - Gold Edition,$64.98,,
46,Hades,$24.99,,"Dec 10, 2019"
47,7 Days to Die,$24.99,,"Dec 13, 2013"
48,Fallout 4: Game of the Year Edition,$59.99,,"Nov 10, 2015"
49,ARK: Survival Evolved,$49.99,,"Aug 29, 2017"
50,Grim Dawn Definitive Edition,$55.21,,
51,Cyberpunk 2077,$59.99,,"Sep 16, 2020"
52,DOOM,$19.99,5.99,"May 12, 2016"
53,Mutant Year Zero: Road to Eden - Deluxe Edition,$49.98,25.18,
54,Destiny 2: Shadowkeep,$34.99,,"Oct 1, 2019"
55,The Walking Dead: Saints & Sinners,$39.99,,"Jan 23, 2020"
56,Hunt: Showdown Legendary Edition,$49.98,33.98,
57,Maiden and Spell,$12.99,11.69,"Feb 24, 2020"
58,Monster Hunter World: Iceborne Digital Deluxe,$49.98,,
59,Terraria,$9.99,,"May 16, 2011"
60,Risk of Rain 2,$19.99,,"Mar 28, 2019"
61,SUPERHOT VR,$24.99,16.99,"May 25, 2017"
62,Dying Light Ultimate Collection,$104.86,49.23,
63,DRAGON BALL FIGHTERZ - FighterZ Pass 2,$24.99,,"Jan 31, 2019"
64,The Isle,$19.99,,"Dec 1, 2015"
65,STAR WARS Jedi: Fallen Order™,$59.99,,"Nov 15, 2019"
66,Pavlov VR,$24.99,,"Feb 27, 2017"
67,Black Mesa,$19.99,,"May 5, 2015"
68,DayZ,$44.99,,"Dec 13, 2018"
69,The Elder Scrolls Online - Greymoor,$39.99,,2 June 2020
70,MORDHAU,$29.99,,"Apr 29, 2019"
71,SUPERHOT,$24.99,9.99,"Feb 25, 2016"
72,Kenshi,$29.99,,"Dec 6, 2018"
73,Freeman: Guerrilla Warfare,$24.99,17.49,"Oct 4, 2019"
74,Total War: WARHAMMER,$59.99,,"May 24, 2016"
75,Deep Rock Galactic,$29.99,,"Feb 28, 2018"
76,The Elder Scrolls® Online,$19.99,,"May 22, 2017"
77,DARK SOULS™: REMASTERED,$39.99,,"May 23, 2018"
78,Kingdom Under Fire 2 - War God Edition,$99.99,49.99,"Nov 18, 2019"
79,Skul: The Hero Slayer,$17.99,14.39,"Feb 18, 2020"
80,New World,$39.99,,May 2020
81,ONE PUNCH MAN: A HERO NOBODY KNOWS,$59.99,,"Feb 27, 2020"
82,ONE PUNCH MAN: A HERO NOBODY KNOWS,$59.99,,"Feb 27, 2020"
83,Grand Theft Auto V: Premium Online Edition,$35.18,,
84,DRAGON BALL Z: KAKAROT,$59.99,,"Jan 16, 2020"
85,XCOM 2: War of the Chosen,$39.99,13.19,"Aug 28, 2017"
86,Last Epoch,$34.99,,"Apr 30, 2019"
87,Hell Let Loose,$29.99,,"Jun 6, 2019"
88,NieR:Automata™,$39.99,,"Mar 17, 2017"
89,Conan Exiles - Deluxe Edition,$69.99,34.99,
90,Dead by Daylight,$19.99,,"Jun 14, 2016"
91,Assassin's Creed® Odyssey,$59.99,,"Oct 5, 2018"
92,This Land Is My Land,$39.99,,"Nov 20, 2019"
93,Arma 3,$29.99,,"Sep 12, 2013"
94,Total War: WARHAMMER II,$59.99,,"Sep 28, 2017"
95,Space Engineers,$19.99,,"Feb 28, 2019"
96,DayZ Livonia Edition,$53.08,,
97,Hunt: Showdown - Legends of the Bayou,$9.99,,"Aug 27, 2019"
98,Garry's Mod,$9.99,,"Nov 29, 2006"
99,Totally Accurate Battle Simulator,$14.99,,"Apr 1, 2019"
