,Title,Price,Discount,Released
0,ARK: Genesis Season Pass,$34.99,,"Aug 8, 2019"
1,Wolcen: Lords of Mayhem,$39.99,,"Feb 13, 2020"
2,Disco Elysium,$39.99,31.99,"Oct 15, 2019"
3,Genesis Alpha One Deluxe Edition,$29.99,22.49,"Feb 25, 2020"
4,Noita,$17.99,13.49,"Sep 24, 2019"
5,Monster Hunter World: Iceborne,$39.99,,"Jan 9, 2020"
6,Red Dead Redemption 2,$59.99,,"Dec 5, 2019"
7,Grand Theft Auto V,$29.99,,"Apr 13, 2015"
8,Dying Light Enhanced Edition 5th Anniversary,$59.99,19.79,
9,Temtem,$34.99,,"Jan 21, 2020"
10,Destiny 2: Upgrade Edition,$49.99,,"Dec 10, 2019"
11,BioShock: The Collection,$59.99,14.99,"Sep 16, 2016"
12,Rust,$39.99,,"Feb 8, 2018"
13,The Elder Scrolls V: Skyrim Special Edition,$39.99,,"Oct 27, 2016"
14,Death and Taxes,$12.99,9.74,"Feb 20, 2020"
15,MONSTER HUNTER: WORLD,$29.99,,"Aug 9, 2018"
16,No Man's Sky,$59.99,,"Aug 12, 2016"
17,Divinity: Original Sin 2 - Definitive Edition,$44.99,,"Sep 14, 2017"
18,Subnautica: Below Zero,$19.99,,"Jan 30, 2019"
19,Black Desert Online - Kakao Cash,$10.00,,"Jan 24, 2018"
20,Conan Exiles - Complete Edition,$99.99,59.99,
21,The Forest,$19.99,,"Apr 30, 2018"
22,Mutant Year Zero: Road to Eden,$34.99,17.49,"Dec 4, 2018"
23,Half-Life: Alyx,$59.99,53.99,"Mar 23, 2020"
24,Conan Exiles,$39.99,19.99,"May 8, 2018"
25,Sekiro™: Shadows Die Twice,$59.99,,"Mar 21, 2019"
26,Metro Exodus,$39.99,,"Feb 14, 2020"
27,Subnautica,$24.99,,"Jan 23, 2018"
28,BONEWORKS,$29.99,,"Dec 10, 2019"
29,The Witcher 3: Wild Hunt - Game of the Year Edition,$49.99,,"Aug 30, 2016"
30,Tank Mechanic Simulator,$19.99,17.99,"Feb 20, 2020"
31,Monster Hunter World: Iceborne Master Edition,$59.98,,
32,Metro Exodus - Gold Edition,$64.98,,
33,7 Days to Die,$24.99,,"Dec 13, 2013"
34,Fallout 4: Game of the Year Edition,$59.99,,"Nov 10, 2015"
35,ARK: Survival Evolved,$49.99,,"Aug 29, 2017"
36,Grim Dawn Definitive Edition,$55.21,,
37,Mutant Year Zero: Road to Eden - Deluxe Edition,$49.98,25.18,
38,Destiny 2: Shadowkeep,$34.99,,"Oct 1, 2019"
39,The Walking Dead: Saints & Sinners,$39.99,,"Jan 23, 2020"
40,Raft,$19.99,,"May 23, 2018"
41,Monster Hunter World: Iceborne Digital Deluxe,$49.98,,
42,Terraria,$9.99,,"May 16, 2011"
43,Dying Light Ultimate Collection,$104.86,49.23,
44,The Isle,$19.99,,"Dec 1, 2015"
45,STAR WARS Jedi: Fallen Order™,$59.99,,"Nov 15, 2019"
46,Black Mesa,$19.99,,"May 5, 2015"
47,Deep Ocean Bundle,$44.98,,
48,Kenshi,$29.99,,"Dec 6, 2018"
49,The Elder Scrolls® Online,$19.99,,"May 22, 2017"
50,DARK SOULS™: REMASTERED,$39.99,,"May 23, 2018"
51,Kingdom Under Fire 2 - War God Edition,$99.99,49.99,"Nov 18, 2019"
