,Title,Price,Discount,Released
0,ARK: Genesis Season Pass,$34.99,,"Aug 8, 2019"
1,Temtem,$34.99,,"Jan 21, 2020"
2,Black Desert Online - Kakao Cash,$10.00,,"Jan 24, 2018"
3,Conan Exiles,$39.99,19.99,"May 8, 2018"
4,Conan Exiles - Complete Edition,$99.99,59.99,
5,The Elder Scrolls Online - Greymoor,$39.99,,2 June 2020
6,ARK: Survival Evolved,$49.99,,"Aug 29, 2017"
7,FINAL FANTASY XIV: Shadowbringers,$39.99,,"Jul 2, 2019"
8,The Elder Scrolls Online - Greymoor,$39.99,,2 June 2020
9,DayZ,$44.99,,"Dec 13, 2018"
10,The Isle,$19.99,,"Dec 1, 2015"
11,New World,$39.99,,May 2020
12,The Elder Scrolls® Online,$19.99,,"May 22, 2017"
13,Conan Exiles - Deluxe Edition,$69.99,34.99,
14,Kingdom Under Fire 2 - War God Edition,$99.99,49.99,"Nov 18, 2019"
15,DayZ Livonia Edition,$53.08,,
16,The Elder Scrolls Online - Elsweyr,$29.99,,"May 21, 2019"
17,Kingdom Under Fire 2 - Hero Edition,$29.99,17.99,"Nov 18, 2019"
18,DayZ Livonia,$13.99,,"Dec 3, 2019"
19,ARK: Survival Evolved Season Pass,$44.99,,"Sep 1, 2016"
20,ATLAS,$29.99,,"Dec 22, 2018"
21,Conan Exiles - Year 2 DLC Bundle,$39.96,22.85,
22,ARK: Survival Evolved Explorer's Edition,$90.23,,
23,Microsoft Flight Simulator X: Steam Edition,$24.99,,"Dec 18, 2014"
24,The Elder Scrolls Online - Greymoor,$39.99,,2 June 2020
25,The Elder Scrolls Online - Greymoor,$39.99,,2 June 2020
26,Conan Exiles - Riders of Hyboria Pack,$9.99,7.99,"Dec 5, 2019"
27,The Elder Scrolls Online - Elsweyr,$29.99,,"May 21, 2019"
28,ARK: Extinction - Expansion Pack,$19.99,,"Nov 6, 2018"
29,Post Scriptum,$29.99,,"Aug 9, 2018"
30,The Crew™ 2,$59.99,,"Jun 28, 2018"
31,Conan Exiles - Year 1 DLC Bundle,$39.96,22.48,
32,Black Desert Online,$9.99,,"May 24, 2017"
33,DRAGON BALL XENOVERSE 2,$49.99,,"Oct 27, 2016"
34,Survivor Pass: Shakedown,$9.99,,"Jan 21, 2020"
35,Conan Exiles - Debaucheries of Derketo Pack,$9.99,7.49,"Oct 8, 2019"
36,Conan Exiles - Blood and Sand Pack,$9.99,7.49,"Sep 3, 2019"
37,Elite Dangerous,$29.99,,"Apr 2, 2015"
38,Elite Dangerous: Commander Deluxe Edition,$59.99,,
39,Town of Salem,$4.99,,"Dec 15, 2014"
40,Naval Action,$39.99,,"Jun 13, 2019"
41,ARK: Aberration - Expansion Pack,$19.99,,"Dec 12, 2017"
42,iRacing,$9.99,,"Jan 12, 2015"
43,NARUTO TO BORUTO: SHINOBI STRIKER,$49.99,,"Aug 30, 2018"
44,SCUM,$29.99,,"Aug 29, 2018"
45,Conan Exiles - The Riddle of Steel,$6.99,5.24,"May 9, 2019"
46,Conan Exiles - Treasures of Turan Pack,$9.99,7.49,"Apr 15, 2019"
47,Kingdom Under Fire 2 - Emperor Edition,$49.99,29.99,"Nov 18, 2019"
48,The Elder Scrolls Online - Newcomer Pack,$9.99,,"May 20, 2019"
49,World War 3,$28.00,,"Oct 19, 2018"
50,Black Desert Online,$9.99,,"May 24, 2017"
51,Rust - Instruments,$9.99,,"Dec 5, 2019"
52,Conan Exiles - The Savage Frontier Pack,$9.99,7.49,"Oct 9, 2018"
53,Fishing Planet: Catfish Combat Pack,$39.99,,"Jan 16, 2017"
54,SCUM + Supporter Pack,$37.98,,
55,CarX Drift Racing Online - Deluxe,$29.99,,"Dec 28, 2017"
56,Elite Dangerous: Horizons Season Pass,$29.99,,"Feb 5, 2016"
57,Fishing Planet: Golden Pack,$49.99,,"Nov 4, 2019"
58,Town of Salem - Game + Coven + Soundtrack,$9.98,,
59,Crossout - Spectral Hunter Pack,$49.99,,"May 22, 2018"
60,The Elder Scrolls Online - Elsweyr,$29.99,,"May 21, 2019"
61,DRAGON BALL XENOVERSE 2 - Extra Pass,$29.99,,"Dec 18, 2018"
62,PRO ANGLER SPORT BUNDLE,$27.40,,
63,Holdfast: Nations At War,$19.99,,"Sep 21, 2017"
64,ArcheAge: Unchained,$25.99,,"Oct 17, 2019"
65,Conan Exiles - The Imperial East Pack,$9.99,7.49,"Jun 22, 2018"
66,Conan Exiles - Seekers of the Dawn Pack,$9.99,7.49,"Dec 12, 2018"
67,Onset,$18.99,,"Dec 13, 2019"
68,HALF DEAD 2,$4.99,3.49,"Aug 2, 2019"
69,Conan Exiles - Jewel of the West Pack,$9.99,7.49,"Aug 2, 2018"
70,CarX Drift Racing Online - Ultimate,$38.23,,
71,ShellShock Live,$6.99,,"Mar 11, 2015"
72,Super Animal Royale,$12.99,,"Dec 12, 2018"
73,New World,$39.99,,May 2020
